idx,dist_m,lat,lon,x_m,y_m,segment,target_speed_kph,action,action_code,offtrack_radius_m
966,9660.0,39.793513212289724,-86.23491496655298,328.1066554244117,97.8513665062352,194,26.0,coast,3,40.0
967,9670.0,39.79342333294418,-86.23491115313212,328.4328279623398,87.91610364920176,194,26.0,coast,3,40.0
968,9680.0,39.79333344988426,-86.23490732921627,328.75989816519126,77.98043020597791,194,26.0,coast,3,40.0
969,9690.0,39.79324360217419,-86.2349022854493,329.1913056433876,68.04866433519912,194,26.0,coast,3,40.0
970,9700.0,39.79315372346904,-86.2348985901952,329.50737104711976,58.11347226786724,195,24.0,coast,3,40.0
971,9710.0,39.79306380415901,-86.23489668811091,329.67006162944006,48.17379173721296,195,24.0,coast,3,40.0
972,9720.0,39.79297391118167,-86.23489329202177,329.9605386203385,38.23702202172447,195,24.0,coast,3,40.0
973,9730.0,39.792884045389066,-86.23488948286555,330.28634638986495,28.30325730719935,195,24.0,coast,3,40.0
974,9740.0,39.792794465944375,-86.23487922676864,331.1635790059878,18.401145491003607,195,24.0,coast,3,40.0
975,9750.0,39.792705999767826,-86.23485907346453,332.8873473983547,8.622094335057959,196,27.0,accelerate,1,40.0
976,9760.0,39.79262032914638,-86.2348241198496,335.8770277140256,-0.8479361588340399,196,27.0,accelerate,1,40.0
977,9770.0,39.792538924703024,-86.2347744926003,340.1217849651666,-9.846383328021053,196,27.0,accelerate,1,40.0
978,9780.0,39.79246241657777,-86.23471328462591,345.35707397934266,-18.30359149356226,196,27.0,accelerate,1,40.0
979,9790.0,39.792397257310746,-86.23463328598045,352.19958157488435,-25.506296869863533,196,27.0,accelerate,1,40.0
980,9800.0,39.7923487423282,-86.23453532039635,360.5788516182054,-30.86914304060946,197,25.0,coast,3,40.0
981,9810.0,39.79231764423001,-86.23442586538008,369.9408448862222,-34.306726814400406,197,25.0,coast,3,40.0
982,9820.0,39.792290941431546,-86.23431459926398,379.4577465816927,-37.25845415669233,197,25.0,coast,3,40.0
983,9830.0,39.79227268333417,-86.23420043704412,389.2223601209564,-39.276704240933405,197,25.0,coast,3,40.0
984,9840.0,39.79226369752078,-86.23408413554037,399.16995258742986,-40.2699960528661,197,25.0,coast,3,40.0
985,9850.0,39.792263301163516,-86.23396714305002,409.17664706660435,-40.31380938496002,198,28.0,accelerate,1,40.0
986,9860.0,39.79225742585403,-86.23385038781046,419.1630488231812,-40.963266095549706,198,28.0,accelerate,1,40.0
987,9870.0,39.792246587744465,-86.2337342312039,429.0982478287896,-42.161310726539206,198,28.0,accelerate,1,40.0
988,9880.0,39.79223196419312,-86.23361874935185,438.97573319491283,-43.77779809213992,198,28.0,accelerate,1,40.0
989,9890.0,39.79221102690903,-86.23350511436337,448.69525116161356,-46.09220547613217,198,28.0,accelerate,1,40.0
990,9900.0,39.792188078078716,-86.23339196957258,458.37284115057304,-48.628969178922624,199,26.0,coast,3,40.0
991,9910.0,39.79215953288296,-86.2332811776038,467.8491877010511,-51.784355117192305,199,26.0,coast,3,40.0
992,9920.0,39.79211140637729,-86.2331825919597,476.2814932078191,-57.104259054766864,199,26.0,coast,3,40.0
993,9930.0,39.79204288685132,-86.23310735902261,482.71637645630204,-64.67840745487685,199,26.0,coast,3,40.0
994,9940.0,39.7919683240789,-86.23304213770577,488.29493786023494,-72.92057631845584,199,26.0,coast,3,40.0
995,9950.0,39.79189176132477,-86.23298074104089,493.54636609780493,-81.38382315993661,200,24.0,coast,3,40.0
996,9960.0,39.79181648784089,-86.23291679420176,499.01591786383557,-89.70455406801196,200,24.0,coast,3,40.0
997,9970.0,39.79174419316005,-86.23284736576329,504.954326130936,-97.69600808799947,200,24.0,coast,3,40.0
998,9980.0,39.79167884241704,-86.23276704317237,511.8245416876889,-104.91987921984776,200,24.0,coast,3,40.0
999,9990.0,39.79162262388615,-86.23267609021204,519.6040024318362,-111.13427562486105,200,24.0,coast,3,40.0
